x,y,month,year,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
-120.13287643170648,36.48432785930963,10,1999,0.15000000596046448,100.75,100.9000015258789,0,10.270000457763672,28.959999084472656,136.30999755859375,33.90666580200195,35,5,0.6600000262260437,8.239999771118164
-117.16407502064835,33.494013394548176,10,1999,0,106.69999694824219,106.69999694824219,0,13,30.780000686645508,167.60000610351563,32.19333267211914,12.5,2,3.5,6.5
-119.22663904445416,36.33373648338639,10,1999,0,101.4000015258789,101.4000015258789,0,10.4399995803833,28.489999771118164,176.97999572753906,34.16666793823242,10,5,0.5799999833106995,7.230000019073486
-118.88511931691394,37.57073707132728,10,1999,3.4000000953674316,76.5,79.9000015258789,25.989999771118164,-0.17000000178813934,12.970000267028809,544.47998046875,16.273332595825195,3,2,0.27000001072883606,6.139999866485596
-119.9527046069412,35.35220340817242,10,1999,0,103.0999984741211,103.0999984741211,0,8.319999694824219,28.65999984741211,138.1699981689453,33.21666717529297,14.235876083374023,3,0.5147770047187805,8.199999809265137
-120.3829656810076,38.5442027514025,10,1999,8.770000457763672,85.83000183105469,94.5999984741211,60.95000076293945,7.909999847412109,23.260000228881836,869.54998779296875,27.02666664123535,24.815053939819336,3,3.9202017784118652,5.7393412590026855
-117.4410555870786,35.17203158340712,10,1999,0,117.0999984741211,117.0999984741211,0,12.779999732971191,28.700000762939453,46.65999984741211,35.52000045776367,5.110000133514404,2,0.5400000214576721,8.039999961853027
-120.68414843285407,37.83965024261878,10,1999,5.670000076293945,85.529998779296875,91.19999694824219,1.100000023841858,11.220000267028809,27.860000610351563,293.75,33.00666809082031,21.076065063476563,3,1.3235526084899902,6.252078533172607
-117.49752735304982,35.508173047521495,10,1999,0,107.30000305175781,107.30000305175781,0,11.829999923706055,30.950000762939453,34.79999923706055,38.20000076293945,3.4100000858306885,2,0.5099999904632568,8.069999694824219
-119.48748482060692,36.97106069934724,11,1999,0.14000000059604645,53.959999084472656,54.099998474121094,34.38999938964844,7.329999923706055,21,395.1700134277344,35.470001220703125,9.600000381469727,3,0.75,6.699999809265137
-121.1547464826142,36.812401928285254,11,1999,0.9100000262260437,46.59000015258789,47.5,29.520000457763672,5.559999942779541,19.420000076293945,280.739990234375,30.726665496826172,30.309999465942383,3,1.559999942779541,6.590000152587891
-116.94894448361516,33.44023076028987,11,1999,0,68.9000015258789,68.9000015258789,0.5099999904632568,6.769999980926514,23.479999542236328,164.14999389648438,33.543331146240234,7.056304454803467,2,0.7007004618644714,6.539493083953857
-119.0921824588084,37.42821309054278,11,1999,2.190000057220459,42.310001373291016,44.5,61.56999969482422,-2.509999990463257,11.770000457763672,686.32000732421875,20.72333335876465,4.440000057220459,3,1.190000057220459,5.550000190734863
-116.87364879565354,34.163607191064,11,1999,2.009999990463257,56.88999938964844,58.900001525878906,5.03000020980835,0.8899999856948853,17.149999618530273,257.5299987792969,26.799999237060547,12.399434089660645,3,0.5541102290153503,6.699999809265137
-118.79099970696193,37.65947841785348,11,1999,0,49.5,49.5,6.28000020980835,-3.8399999141693115,14.5600004196167,90.80000305175781,27.406667709350586,5.760293006896973,2,0.28051888942718506,7.27484655380249
-119.56278050856852,35.82011232621963,11,1999,0,57.29999923706055,57.29999923706055,6.289999961853027,5.070000171661377,20.780000686645508,94.75,34.61333465576172,20.639999389648438,4,0.5899999737739563,8.529999732971191
-119.85320673356334,36.417099566486755,11,1999,0,53.29999923706055,53.29999923706055,7.679999828338623,4.96999979019165,20.649999618530273,142.16000366210938,34.356666564941406,14.866520881652832,5,1.0460426807403564,7.65260648727417
-120.03875682175448,37.65947841785348,11,1999,0,41.70000076293945,41.70000076293945,59.470001220703125,5.320000171661377,19.700000762939453,546.6400146484375,32.676666259765625,11.23480224609375,3,1.6710400581359863,6.4121623039245605
-119.08949332709548,37.374430456284486,12,1999,3.259999990463257,32.040000915527344,35.29999923706055,3.299999952316284,-3.619999885559082,9.779999732971191,672.9000244140625,23.22333335876465,12.903395652770996,3,2.2853713035583496,5.6114182472229
-118.94159108288515,35.328001222756185,12,1999,0.9100000262260437,41.189998626708984,42.099998474121094,3.990000009536743,1.5199999809265137,15.880000114440918,77.54000091552734,34.74333190917969,22.1200008392334,3,0.38947051763534546,7.503402233123779
-120.08985032429986,35.68565574057388,12,1999,0,40.900001525878906,40.900001525878906,2.0899999141693115,0.41999998688697815,16.06999969482422,83.30999755859375,33.76333236694336,20.500486373901367,3,0.13169823586940765,8.021027565002441
-118.80175623381358,34.25772680101603,12,1999,0,55.900001525878906,55.900001525878906,0.05000000074505806,8.869999885559082,20.850000381469727,207.86000061035156,28.66666603088379,18.71111488342285,3,0.7219465374946594,6.852132320404053
-120.35876349559136,35.50279478409566,12,1999,0,42.900001525878906,42.900001525878906,2.299999952316284,-2.5199999809265137,17.81999969482422,280.19000244140625,33.72999954223633,15.866765975952148,3,0.4670237600803375,7.100785255432129
-119.2535303615833,35.35220340817242,12,1999,1.2300000190734863,40.16999816894531,41.400001525878906,4.510000228881836,1.1399999856948853,15.6899995803833,80.08000183105469,34.439998626708984,7.502498149871826,3,0.05999999865889549,7.380765914916992
-121.56618363469018,37.180812972954605,12,1999,4.099999904632568,28.100000381469727,32.20000076293945,12.520000457763672,5.769999980926514,14.399999618530273,427.9599914550781,27.483333587646484,15.657094955444336,3,1.0785287618637085,6.228449821472168
-120.64112232544744,37.285689109758295,12,1999,5.199999809265137,26.299999237060547,31.5,6.260000228881836,0.7200000286102295,14.890000343322754,202.16000366210938,33.073333740234375,6.21093225479126,5,0.40043526887893677,8.145962715148926
-118.6995692287228,37.35560653429408,12,1999,1.7300000190734863,20.8700008392334,22.600000381469727,5.28000020980835,-5.940000057220459,7.820000171661377,246.760009765625,24.040000915527344,NA,1,NA,NA
-118.57855830164164,34.72294658735032,1,2000,1.9500000476837158,48.150001525878906,50.099998474121094,34.54999923706055,3.3499999046325684,12.899999618530273,206.9199981689453,30.80666732788086,7.847683429718018,1,0.7027470469474792,6.352601051330566
-121.1574356143271,37.3233369537391,1,2000,0,34.900001525878906,34.900001525878906,100.51000213623047,4.949999809265137,14.279999732971191,219.6300048828125,31.86333465576172,29.181425094604492,3,0.7092037796974182,7.218769550323486
-118.88511931691394,36.8392932454144,1,2000,3.0899999141693115,25.709999084472656,28.799999237060547,199.5,3.0199999809265137,12.680000305175781,511.0899963378906,30.516666412353516,4.133306980133057,2,0.799305260181427,4.714667797088623
-117.88476231970958,35.72330358455469,1,2000,0,50.5,50.5,2.380000114440918,2.7300000190734863,16.84000015258789,30.860000610351563,38.20000076293945,5.059055805206299,1,0.5165292620658875,8.027314186096191
-119.10831724908589,35.78784274566465,1,2000,0,45.79999923706055,45.79999923706055,35.31999969482422,3.940000057220459,15.779999732971191,124.16999816894531,34.62666702270508,9.964912414550781,3,0.6707946062088013,7.499338150024414
-119.2508412298704,36.25306253199894,1,2000,0.75,42.25,43,54.060001373291016,3.9600000381469727,15.25,164.66000366210938,34.16666793823242,10,3,0.8199999928474426,7.5
-117.8524927391546,36.156253790334,1,2000,0,42.70000076293945,42.70000076293945,26.450000762939453,-0.5199999809265137,10.539999961853027,108.01000213623047,30.25666618347168,10.520000457763672,2,0.5600000023841858,8.049711227416992
-118.22628204724978,34.959590178086835,1,2000,0,55.599998474121094,55.599998474121094,13.739999771118164,2.9200000762939453,15.489999771118164,78.25999450683594,34.83333206176758,2.640000104904175,2,0.41999998688697815,7.900000095367432
-119.53051092801354,38.56033754167999,1,2000,4.599999904632568,26.200000762939453,30.799999237060547,112.3499984741211,-5.03000020980835,5.840000152587891,228.0699920654297,26.90333366394043,18.392181396484375,3,1.5789653062820435,6.691826820373535
-117.15600762550962,33.932341863753315,2,2000,6.670000076293945,65.83000183105469,72.5,95.8499984741211,5.960000038146973,17.799999237060547,108.88999938964844,34.48666763305664,7.5,3,0.10000000149011612,8.199999809265137
-120.49322008123713,36.594582259539145,2,2000,0,53.900001525878906,53.900001525878906,83.5199966430664,6.710000038146973,16.459999084472656,134.42999267578125,32.92333221435547,18.959999084472656,3,0.3700000047683716,7.940000057220459
-118.4790604282638,34.478235601475056,2,2000,0,68.5,68.5,173.72999572753906,6.03000020980835,15.550000190734863,207.6699981689453,32.47999954223633,15.87583065032959,3,0.8640049695968628,6.701097011566162
-119.18899120047334,34.80630967045068,2,2000,13.029999732971191,38.16999816894531,51.20000076293945,301.7799987792969,-3.7200000286102295,7.210000038146973,350.4599914550781,26.6733341217041,9.422982215881348,3,0.7017971873283386,6.256489276885986
-121.30264872682451,37.57073707132728,2,2000,3.4100000858306885,41.9900016784668,45.400001525878906,106.61000061035156,6.699999809265137,15.289999961853027,205.32000732421875,30.773332595825195,17.96339225769043,3,0.6606993675231934,7.507521629333496
-120.5819614277633,37.86385242803502,2,2000,52.599998474121094,0,52.599998474121094,231.08999633789063,5.579999923706055,14.920000076293945,424.1600036621094,32.90666580200195,17.25957489013672,4,2.3950037956237793,5.594865798950195
