x,y,month,year,aet,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph,tdiff,presence
-117.421,33.80853,4,2000,66.9800033569336,24.549999237060547,126.83000183105467,33.27000045776367,10.802141189575195,2,0.6286760568618774,6.5731306076049805,15.24,1
-117.188889,33.781389,5,2000,28.239999771118164,29.940000534057617,104.60999298095705,35.0533332824707,35,6,0.3711166977882385,8.6881256103515625,18.58,1
-119.25017,35.24117,4,2001,42.619998931884766,21.84000015258789,114.18000030517578,35.41999816894531,15.899999618530272,3,0.39901700615882874,9.010000228881836,13.67,1
-119.7167,35.0833,4,2001,0,18.170000076293945,164.22999572753906,33.62999725341797,13.305891036987305,3,0.1697748303413391,8.177227020263672,13.35,1
-118.3365,35.1755,4,2001,106.83000183105467,14.93000030517578,149.17999267578125,30.43666648864746,11.135793685913086,3,0.4874580502510071,7.405472755432129,12.47,1
-119.259997,35.241144,4,2001,26.260000228881836,21.88999938964844,113.1999969482422,35.4566650390625,16.015060424804688,3,0.4000000059604645,9.015459060668944,13.64,1
-120.336111,36.334167,4,2001,0,21.079999923706055,138.22000122070313,34.720001220703125,14.920000076293944,3,0.35122743248939514,7.368741035461426,14.69,1
-120.1495,35.38717,5,2001,74.41999816894531,31.329999923706055,203.5800018310547,34.05666732788086,11.617012977600098,3,1.1049542427062988,7.55428409576416,22.52,1
-117.11667,33.86667,4,2002,24.84000015258789,22.850000381469727,33.029998779296875,33.516666412353516,35,6,0.33000001311302185,8.699999809265137,15.58,1
-117.129167,33.869444,4,2002,16.389999389648438,23.260000228881836,29.229999542236328,33.79666519165039,9.36313533782959,3,0.2712284028530121,6.919589996337891,15.62,1
-119.486222,34.938056,3,2003,24.940000534057617,17.56999969482422,132.7899932861328,33.28666687011719,18.78667640686035,3,0.3512049913406372,8.073513984680176,14.58,1
-119.983889,35.305,3,2003,0,18.530000686645508,131.13999938964844,33.97999954223633,27.59000015258789,4,0.07000000029802322,8.270000457763672,15.67,1
-119.83053,35.0992,4,2003,28.059999465942383,14.329999923706056,213.57000732421875,30.88666725158691,23.23448371887207,3,0.542216420173645,8.067191123962402,12.25,1
-119.4284758,34.8818651,4,2003,48.84000015258789,17.079999923706055,159.63999938964844,33.45333480834961,16.88267707824707,3,0.557742714881897,7.384506702423096,15.24,1
-118.643803,34.819088,4,2003,120.5,15.6899995803833,189.83999633789065,33.22666549682617,7.5,3,0.3799999952316284,6.699999809265137,11.44,1
-119.285833,34.911111,5,2004,3.5799999237060547,23.190000534057617,206.63999938964844,30.020000457763672,18.032915115356445,3,0.6496015191078186,6.9878106117248535,17.99,1
-117.42944,33.81806,3,2005,33.38999938964844,20.25,429.1799926757813,32.38666534423828,25.990922927856445,3,0.8057435154914856,7.0840911865234375,12.4,1
-119.658056,35.031667,3,2005,95,15.779999732971191,297.07000732421875,32.246665954589844,23.718944549560547,3,0.24012155830860135,8.069270133972168,11.96,1
-118.7825,34.79722,4,2006,109.3000030517578,14.18000030517578,124.43000030517578,31.18666648864746,10.687206268310549,3,1.4141746759414673,6.093100547790527,11.06,1
-118.75833,34.79944,4,2006,115.0999984741211,15,109.0399932861328,31.956666946411133,8.891044616699219,3,1.8040764331817627,6.519987106323242,10.89,1
-118.8085745,34.7793984,5,2006,153.1999969482422,24.6200008392334,118.02000427246094,31.779998779296875,9.4187164306640625,3,1.532174587249756,6.421761989593506,15.04,1
-118.74917,34.80417,4,2007,0,19.719999313354492,97.6500015258789,32.116668701171875,7.728611469268799,3,0.6080600619316101,6.69862174987793,13.02,1
-118.65056,34.77306,4,2007,1.5800000429153442,21.020000457763672,88.29999542236328,33.2066650390625,7.566821575164795,3,0.17000000178813934,6.699999809265137,13.5,1
-118.88861,34.89222,4,2007,13.75,18.09000015258789,102.4499969482422,30.780000686645508,11.300000190734863,3,1.7599999904632568,6.679999828338623,13.49,1
-118.79611,34.82639,5,2007,24.829999923706055,24.100000381469727,103.7899932861328,31.059999465942383,14.374469757080078,3,0.8757917284965515,6.626894950866699,14.7,1
-119.903889,35.195,3,2008,23.940000534057617,18.850000381469727,253.20999145507813,34.026668548583984,25.472761154174805,3,0.18545407056808472,8.014185905456543,15.75,1
-119.94279,35.270831,3,2008,0,18.88999938964844,233.66000366210935,34.27000045776367,24.93777847290039,4,0.08000892400741577,8.176180839538574,16.68,1
-117.45131,33.80739,3,2008,5.409999847412109,22.1200008392334,209.13999938964844,33.35333251953125,30.03827476501465,3,0.18374748528003693,7.354440212249756,14.95,1
-118.6895,34.80631,4,2008,52.619998931884766,20.200000762939453,225.0099945068359,32.63666534423828,11.72140407562256,3,0.600267767906189,6.6040825843811035,14.87,1
-118.69864,34.7955,4,2008,52.38999938964844,20.010000228881836,237.63999938964844,32.41666793823242,13.501644134521484,3,0.10999999940395357,6.6677045822143555,14.73,1
-118.66728,34.77935,4,2008,53.349998474121094,20.440000534057617,244.97999572753903,32.87666702270508,12.874706268310549,3,0.30568671226501465,6.861507892608643,15.04,1
-119.961944,35.176944,4,2008,62.2400016784668,20.690000534057617,336.19000244140625,33.43000030517578,14.738433837890623,3,0.34947195649147034,8.2012786865234375,16.84,1
-119.361867,34.6031,5,2008,107.3499984741211,21.34000015258789,780.69000244140625,30.766666412353516,14.289999961853027,3,0.4900000095367432,6.46999979019165,16.68,1
-120.66944,36.44833,5,2008,45.91999816894531,25.100000381469727,203.10000610351565,33.813331604003906,18.570899963378903,3,0.8235780000686646,7.915389060974121,15.9,1
