id,lat,lon,date,year,month,source,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
3059683672,35.2183,-119.9525,2015-04-13,2015,4,gbif,49.459999084472656,80.839996337890625,130.3000030517578,6.829999923706055,5.849999904632568,21.850000381469727,147.07000732421875,32.76000213623047,14.124241828918457,3,0.6087784171104431,8.180147171020508
2422502196,35.10968,-118.42833,2015-05-06,2015,5,gbif,36.52000045776367,118.58000183105469,155.10000610351563,11.430000305175781,6.920000076293945,19.75,142.45001220703125,29.91666603088379,11.842854499816895,3,0.6220031380653381,7.5
2563448017,36.671902,-120.866341,2016-02-15,2016,2,gbif,8.329999923706055,44.27000045776367,52.599998474121094,22.030000686645508,6.139999866485596,18.200000762939453,131.27999877929688,33.51333236694336,18.332660675048828,3,0.5435819625854492,7.952394962310791
2563447848,36.823262,-121.281487,2016-02-13,2016,2,gbif,9.279999732971191,42.02000045776367,51.29999923706055,30.190000534057617,5.159999847412109,20.06999969482422,246.25999450683594,29.413333892822266,24.4290771484375,3,0.913177490234375,7.735289573669434
2563449971,36.534722,-120.824387,2016-03-12,2016,3,gbif,42.470001220703125,43.33000183105469,85.80000305175781,72.410003662109375,5.550000190734863,17.200000762939453,144.16000366210938,33.38333511352539,NA,NA,NA,NA
2563449967,36.535197,-120.833337,2016-03-12,2016,3,gbif,33.2400016784668,50.15999984741211,83.4000015258789,64.93000030517578,5.889999866485596,17.860000610351563,130.5,33.856666564941406,18.63530158996582,3,0.7368673086166382,7.900000095367432
2430560182,34.83497,-119.54905,2016-03-16,2016,3,gbif,0,100.19999694824219,100.19999694824219,42.79999923706055,4.699999809265137,17.979999542236328,107.27999877929688,33.72333526611328,9.831376075744629,3,0.5652992725372314,7.568099498748779
2422517419,35.72583,-118.91778,2016-03-20,2016,3,gbif,0,105.0999984741211,105.0999984741211,40.189998626708984,6.659999847412109,20.780000686645508,145.33999633789063,36.34000015258789,16.727102279663086,3,0.857545018196106,7.429758071899414
2422510540,35.13131,-118.462,2016-04-11,2016,4,gbif,125.80000305175781,0,125.80000305175781,35.400001525878906,5.210000038146973,17.75,152.41000366210938,30.8799991607666,11.699914932250977,3,0.7599999904632568,7.309447765350342
2422509605,35.12856,-118.42083,2016-04-11,2016,4,gbif,126.5,0,126.5,33.33000183105469,5.119999885559082,17.829999923706055,150.33999633789063,30.956666946411133,11.020000457763672,3,0.6499999761581421,7.5
3747057313,35.548031,-120.333495,2017-03-23,2017,3,gbif,33.20000076293945,62.70000076293945,95.9000015258789,20.190000534057617,2.9600000381469727,20.399999618530273,413.9100036621094,35.35333251953125,9.06882381439209,3,0.538202166557312,7.543664932250977
3109164305,36.577294,-120.703964,2017-03-19,2017,3,gbif,0,88.9000015258789,88.9000015258789,20.920000076293945,6.329999923706055,20.270000457763672,205.45999145507813,34.76333236694336,18.671199798583984,3,0.4771077334880829,7.733941555023193
