gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
891152218,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/266045,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.781106,-120.016453,100,NA,NA,NA,NA,NA,2013-05-11T12:47:42Z,11,5,2013,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,266045,,"Lynn Watson, Santa Barbara",2018-08-21T08:06:16Z,CC_BY_NC_4_0,"Lynn Watson, Santa Barbara","Lynn Watson, Santa Barbara",,,2023-09-13T17:21:49Z,,CONTINENT_DERIVED_FROM_COORDINATES
891143316,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/243053,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.400498,-122.362392,NA,NA,NA,NA,NA,NA,2013-04-22T00:00:00Z,22,4,2013,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,243053,,Leslie Flint,2018-08-21T08:06:14Z,CC_BY_NC_4_0,Leslie Flint,Leslie Flint,,,2023-09-13T17:22:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891140630,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/236661,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.670223,-120.418096,35,NA,NA,NA,NA,NA,2013-04-13T10:18:40Z,13,4,2013,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,236661,,"Lynn Watson, Santa Barbara",2018-08-21T08:06:13Z,CC_BY_NC_4_0,"Lynn Watson, Santa Barbara","Lynn Watson, Santa Barbara",,,2023-09-13T17:22:05Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891140536,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/236342,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.506215,-121.828482,NA,NA,NA,NA,NA,NA,2013-04-13T00:00:00Z,13,4,2013,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,236342,,Chris Cook,2013-04-14T18:49:11Z,CC_BY_NC_4_0,Chris Cook,Chris Cook,,,2023-09-13T17:01:51Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891139837,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/234728,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.582484,-122.708101,NA,NA,NA,NA,NA,NA,2013-04-11T00:00:00Z,11,4,2013,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,234728,,Jesse Robinson,2018-08-21T08:06:12Z,CC_BY_NC_4_0,Jesse Robinson,Jesse Robinson,,,2023-09-13T17:01:49Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891136011,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/226002,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.017568,-122.543396,5,NA,NA,NA,NA,NA,2013-03-30T12:05:43Z,30,3,2013,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,226002,,Chris Brown,2013-03-31T00:50:02Z,CC_BY_NC_4_0,Chris Brown,Chris Brown,,,2023-09-13T17:21:51Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
891135798,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/225431,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.714,-122.425333,NA,NA,NA,NA,NA,NA,2013-03-29T13:22:50Z,29,3,2013,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,225431,,,NA,CC_BY_NC_4_0,Liam O'Brien,Liam O'Brien,,,2023-09-13T17:22:04Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891128223,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/207669,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.83113,-116.856097,NA,NA,NA,NA,NA,NA,2012-02-23T00:00:00Z,23,2,2012,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,207669,,,NA,CC_BY_NC_4_0,Michele Roman,Michele Roman,,,2023-09-13T17:01:42Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891099894,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/131315,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.740095,-120.066365,96,NA,NA,NA,NA,NA,2009-02-28T11:00:15Z,28,2,2009,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,131315,,,NA,CC_BY_NC_4_0,"Lynn Watson, Santa Barbara","Lynn Watson, Santa Barbara",,,2023-09-13T17:01:49Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
891075563,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/64077,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.881238,-121.9375,NA,NA,NA,NA,NA,NA,2012-04-08T16:41:00Z,8,4,2012,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,64077,,Ken-ichi Ueda,2012-04-10T05:37:08Z,CC0_1_0,Ken-ichi Ueda,Ken-ichi Ueda,,,2023-09-13T17:01:47Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
