id,lat,lon,date,source
910497469,37.796363,-122.479218,2014-05-11,gbif
910497159,37.188808,-121.550163,2014-05-11,gbif
899971839,37.912658,-122.268647,2014-04-20,gbif
899968512,39.075342,-122.513315,2014-04-13,gbif
899966297,34.648094,-120.156643,2014-04-05,gbif
899965503,37.916283,-121.947139,2014-04-10,gbif
899963115,36.88723,-121.717812,2014-04-06,gbif
899959709,37.913055,-121.941891,2014-03-30,gbif
899959250,37.379502,-122.374949,2014-03-30,gbif
899946988,37.334792,-121.703531,2014-03-12,gbif
891152218,34.781106,-120.016453,2013-05-11,gbif
891143316,37.400498,-122.362392,2013-04-22,gbif
891140630,34.670223,-120.418096,2013-04-13,gbif
891140536,37.506215,-121.828482,2013-04-13,gbif
891139837,38.582484,-122.708101,2013-04-11,gbif
891136011,38.017568,-122.543396,2013-03-30,gbif
891135798,37.714,-122.425333,2013-03-29,gbif
891128223,32.83113,-116.856097,2012-02-23,gbif
891099894,34.740095,-120.066365,2009-02-28,gbif
891075563,37.881238,-121.9375,2012-04-08,gbif
891075436,38.566639,-122.733021,2012-04-08,gbif
891075404,38.215765,-122.662268,2012-04-08,gbif
891075047,37.885191,-122.225351,2012-04-05,gbif
891074329,38.138106,-122.603502,2012-03-29,gbif
891072941,38.611787,-122.781333,2012-03-12,gbif
891071686,38.251273,-122.13401,2012-02-25,gbif
891065663,34.562909,-118.905373,2010-05-23,gbif
891061350,37.969643,-122.580943,2011-04-02,gbif
891060918,38.581872,-122.705323,2003-04-23,gbif
788708264,32.552778000000004,-117.110278,2010-04-09,gbif
788707846,32.64,-117.084167,2010-04-11,gbif
788689179,32.602222,-116.879167,2010-04-08,gbif
4405186373,34.034088,-117.262741,2023-03-11,gbif
4405062403,39.601495,-121.551557,2023-05-14,gbif
4404920715,39.64684,-120.370788,2002-05-29,gbif
4404895568,39.782222,-120.515556,2002-06-12,gbif
4404885762,34.77903,-120.47195,2018-04-24,gbif
4404865583,39.1499,-121.81022,2007-03-23,gbif
4404441307,35.89574,-118.46655,2020-03-14,gbif
4404440305,35.90196,-118.45398,2020-03-15,gbif
4403424318,34.2717,-118.3161,2019-03-13,gbif
4403423314,34.4608,-118.16,2019-05-01,gbif
4403422317,34.2086,-118.145,2019-05-13,gbif
4403420316,34.5317,-118.0769,2019-05-06,gbif
4403415345,33.7225,-116.80139,2023-03-24,gbif
4403414339,33.5875,-117.26933,2023-04-24,gbif
4403409352,33.7,-116.88333,2023-03-31,gbif
4403375370,34.8441,-118.138,2019-04-06,gbif
4403370496,34.822,-117.9123,2019-03-24,gbif
4403335326,39.1482,-122.3468,2022-01-26,gbif
4403334324,39.1495,-122.3261,2023-03-24,gbif
4403331322,39.1392,-122.3547,2022-03-24,gbif
4400197425,38.179788,-120.666693,2022-03-24,gbif
4398978303,35.91119,-118.44166,2021-04-03,gbif
4177502635,34.23913,-118.791296,2023-03-16,gbif
4177158548,34.222465,-118.81178,2023-02-20,gbif
4176953617,39.29492,-121.184013,2023-05-02,gbif
4171506513,39.792708,-122.033402,2011-04-01,gbif
4171343033,39.749965,-121.984427,2010-05-02,gbif
4171325523,35.127537,-119.842037,2023-04-22,gbif
4171247679,35.00805,-119.16942,2023-02-20,gbif
4165543695,33.683225,-118.025903,2023-04-17,gbif
4162086500,33.034747,-116.817453,2023-03-25,gbif
415720062,37.269722,-120.856944,2004-03-31,gbif
415720058,38.513056,-121.1425,2002-05-15,gbif
4153573372,33.891219,-117.705475,2023-05-10,gbif
4145284285,34.559783,-118.488918,2023-06-26,gbif
4138336085,38.349469,-122.648461,2023-05-31,gbif
4138264500,33.823267,-117.789145,2023-04-23,gbif
4133992834,37.322733,-122.204837,2023-06-10,gbif
4133841332,34.631622,-118.759475,2020-04-11,gbif
4133615409,33.975395,-117.324378,2022-09-26,gbif
4133614584,32.569117,-117.006669,2023-06-01,gbif
4130032374,33.591027,-117.776664,2023-06-05,gbif
4129941530,33.009956,-117.007919,2023-04-14,gbif
4129818341,37.150106,-121.787139,2022-02-11,gbif
4129792330,37.147778,-121.774641,2021-03-19,gbif
4129765481,38.462264,-122.576417,2023-04-21,gbif
4129740257,38.851033,-123.246492,2023-06-03,gbif
4128835483,33.88922,-114.82544,2020-04-26,gbif
4128832472,34.15278,-117.80111,2016-04-20,gbif
4128830334,34.16028,-117.79889,2016-04-18,gbif
4127469342,34.119131,-118.760733,2023-05-28,gbif
4127178086,33.984958,-117.304592,2023-03-27,gbif
4127061942,37.321827999999996,-119.604003,2023-05-16,gbif
4127031106,34.706134,-120.040956,2023-05-26,gbif
4127015633,34.194694,-118.175614,2023-05-27,gbif
4126864193,37.192108,-121.809713,2023-04-08,gbif
4126685214,34.704672,-120.040848,2023-05-26,gbif
4126312501,33.627269,-117.761333,2017-06-06,gbif
4126312305,33.60722,-117.76347,2023-05-03,gbif
4121395303,33.48055,-117.625978,2023-05-21,gbif
4121348628,37.548478,-122.092025,2023-05-16,gbif
4121344310,37.172478,-121.840767,2019-04-17,gbif
4121314154,33.781281,-117.76445,2023-05-17,gbif
4121277178,33.59137,-117.800178,2023-05-20,gbif
4121274311,33.103697,-116.581322,2010-05-22,gbif
4121236347,37.338086,-122.092304,2020-04-24,gbif
4121225921,33.663742,-117.941033,2023-05-20,gbif
4121206304,37.204233,-121.982857,2016-03-15,gbif
4121202318,37.194061,-121.83496,2019-04-13,gbif
4121199373,37.179777,-121.830092,2021-03-23,gbif
4121190317,36.47874,-121.184223,2019-06-03,gbif
4121145303,37.211689,-121.718393,2017-03-04,gbif
