id,lat,lon,date,source
83590,36.78678,-120.78867,2005-05-10,vegbank
83592,36.787,-120.78784,2005-05-10,vegbank
83608,36.78391,-120.80374,2005-05-10,vegbank
83609,36.78085,-120.80889,2005-05-10,vegbank
83610,36.78182,-120.8097,2005-05-10,vegbank
83614,36.78066,-120.80585,2005-05-12,vegbank
83616,36.77704,-120.82182,2005-05-12,vegbank
83617,36.78785,-120.7836,2005-06-02,vegbank
83620,36.77369,-120.81784,2005-06-02,vegbank
83793,36.77864,-120.80014,2005-03-07,vegbank
83795,36.77404,-120.81226,2005-03-14,vegbank
83796,36.77459,-120.82317,2005-03-14,vegbank
83797,36.77941,-120.80322,2005-03-13,vegbank
136624,36.7117112379844,-120.816699658412,2014-03-26,vegbank
137039,36.7181832244773,-120.793285925112,2014-04-10,vegbank
137040,36.7477803223116,-120.901278155539,2014-04-11,vegbank
137045,36.7971430141107,-120.905266224594,2014-04-12,vegbank
137074,36.7498082582608,-120.89872525182,2014-04-11,vegbank
137082,36.7490995347397,-120.898912587285,2014-04-11,vegbank
137095,36.7862487169594,-120.779255488458,2014-04-16,vegbank
137102,36.7029312667476,-120.73560755212,2014-05-06,vegbank
137949,34.1046554012197,-119.060170537651,2002-08-16,vegbank
137999,34.092937960206,-119.064210856164,2003-01-23,vegbank
138200,34.09527439333,-119.069502483732,2003-01-17,vegbank
138386,34.0990145981742,-119.077614223035,2003-02-11,vegbank
138483,34.0061375592938,-118.801666832539,2003-01-23,vegbank
138484,34.0035783819097,-118.809538352837,2003-01-23,vegbank
138485,34.0450717310324,-118.934819545814,2003-01-14,vegbank
138547,34.0024512455702,-118.805237695571,2003-01-23,vegbank
138553,34.0044357784513,-118.803958768412,2003-01-23,vegbank
138556,34.0486667286922,-118.938432718199,2003-01-27,vegbank
138557,34.0489853402747,-118.937096708816,2003-01-27,vegbank
138559,34.0499395150099,-118.938916681282,2003-01-27,vegbank
138563,34.0464506872519,-118.929120507433,2003-01-14,vegbank
138565,34.0467095280697,-118.928714737149,2003-01-14,vegbank
138568,34.0872495937725,-119.060919094076,2003-01-17,vegbank
138642,34.1097667503867,-119.079492330817,2003-02-14,vegbank
138643,34.1096106129149,-119.080193113016,2003-02-14,vegbank
138653,34.0681404780829,-119.006617483508,2003-03-06,vegbank
138654,34.068251785264,-119.008082830879,2003-03-06,vegbank
138669,34.1665707252708,-119.059222626405,2003-03-12,vegbank
138794,34.0439869517301,-118.936712185568,2003-01-17,vegbank
138804,34.0770552806505,-119.019993631388,2003-01-10,vegbank
138805,34.0773184005024,-119.021538606838,2003-01-10,vegbank
138807,34.0738275238812,-119.019429372393,2003-01-10,vegbank
138823,34.1053460085423,-119.079644273161,2003-02-10,vegbank
138873,34.0814501647419,-119.019220255986,2003-02-18,vegbank
138874,34.0796650117818,-119.015916110462,2003-02-18,vegbank
138907,34.0690814600442,-119.010280264853,2003-03-06,vegbank
138913,34.1064897736738,-119.072257929833,2003-03-24,vegbank
138917,34.0463080873931,-118.9399063892,2003-02-18,vegbank
138945,34.0460855677563,-118.931127065483,2003-01-17,vegbank
138961,34.0470518081489,-118.926436822402,2003-02-27,vegbank
139018,34.1661112297883,-119.058126729992,2003-03-12,vegbank
139019,34.1595295835466,-119.058097113513,2003-03-12,vegbank
139020,34.15977097886,-119.056606151577,2003-03-12,vegbank
139021,34.1612985195461,-119.060146697154,2003-03-12,vegbank
139025,34.1598205975873,-119.046086198038,2003-03-12,vegbank
139044,34.0397853098701,-118.887386694247,2003-03-19,vegbank
139046,34.038720959298,-118.885055974745,2003-03-19,vegbank
139073,34.0371031074267,-118.753611892956,2003-03-17,vegbank
139083,34.0976212220845,-119.076832299897,2003-03-10,vegbank
139086,34.0965055589559,-119.073488484265,2003-03-10,vegbank
139151,34.1101837713415,-119.070288409378,2003-03-24,vegbank
139246,34.0392479998887,-118.890667608392,2003-04-08,vegbank
139629,34.2157703102335,-118.917625472069,2003-06-23,vegbank
139874,34.2005148959324,-118.8168097157,2003-07-24,vegbank
140346,34.0112421424773,-118.815115179121,2003-11-21,vegbank
140483,34.0141451309587,-118.820039061412,2003-11-24,vegbank
140583,34.2750633074673,-118.860328509969,2003-12-09,vegbank
140664,34.1005846072044,-119.079679485332,2004-02-25,vegbank
140709,34.1073891992359,-119.07025282498,2004-03-31,vegbank
140960,33.0107135601507,-117.166758389805,2002-03-17,vegbank
141139,32.959810483778,-117.219894963729,2002-09-06,vegbank
141698,34.2344588315614,-118.838340407533,2003-09-24,vegbank
141699,34.2472387357232,-118.835740993148,2003-09-24,vegbank
141711,34.2411329592174,-118.804230023928,2003-09-22,vegbank
142238,34.0943443828027,-119.067973336958,2004-02-25,vegbank
142372,34.1118073499694,-119.078675074261,2004-03-31,vegbank
142649,34.2303105218575,-118.834157436414,2004-04-26,vegbank
143056,33.4646260272824,-116.812942304977,2002-10-14,vegbank
143210,33.4853699614364,-116.886169173369,2002-10-21,vegbank
143762,33.4488455741766,-116.841736634979,2003-04-23,vegbank
