id,lat,lon,date,year,month,source
4091855703,35.100992,-119.858278,2023-04-17,2023,4,gbif
4091816804,36.345067,-117.346839,2023-04-04,2023,4,gbif
4091793065,32.940201,-117.250886,2023-04-13,2023,4,gbif
4091746675,34.735965,-118.380944,2023-04-08,2023,4,gbif
4091739153,34.676089,-117.798317,2023-04-14,2023,4,gbif
4091719565,33.235046,-116.419493,2023-04-06,2023,4,gbif
4091680718,32.749672,-116.664513,2023-04-09,2023,4,gbif
4091630639,34.06562,-118.932792,2023-04-17,2023,4,gbif
4091628071,34.683297,-117.809608,2023-04-14,2023,4,gbif
4091584268,35.165889,-119.828347,2023-04-14,2023,4,gbif
4091561674,34.989322,-119.479912,2023-04-14,2023,4,gbif
4091402562,32.634062,-116.109864,2023-04-04,2023,4,gbif
4091397684,32.637988,-116.098733,2023-04-11,2023,4,gbif
4091376676,35.267303,-119.812508,2023-04-11,2023,4,gbif
4091373956,33.102086,-116.424688,2023-04-13,2023,4,gbif
4081023447,32.656997,-116.13543,2023-04-09,2023,4,gbif
4081004513,32.632225,-116.191025,2023-04-10,2023,4,gbif
4080985309,32.689141,-116.894249,2019-03-25,2019,3,gbif
4080980190,35.108147,-119.849808,2023-04-08,2023,4,gbif
4080960799,35.852653,-117.379853,2023-04-05,2023,4,gbif
4080955881,34.0136,-116.168542,2023-03-28,2023,3,gbif
4080938685,35.019183,-119.498324,2023-04-01,2023,4,gbif
4080882847,34.186787,-116.341672,2023-04-02,2023,4,gbif
4080841477,33.802431,-117.353654,2023-04-09,2023,4,gbif
4080770331,35.460706,-120.33719,2023-04-08,2023,4,gbif
4080728471,35.099542,-119.867272,2023-04-08,2023,4,gbif
4080716523,35.150367,-119.866438,2023-04-07,2023,4,gbif
4080701520,35.181797,-119.84497,2023-04-08,2023,4,gbif
4080679225,34.077233,-116.354447,2023-04-08,2023,4,gbif
4080669204,34.114045,-116.295913,2023-04-08,2023,4,gbif
4080662069,36.560212,-120.831642,2023-04-03,2023,4,gbif
4080659403,35.108414,-119.84858,2022-04-01,2022,4,gbif
4080651269,35.084543,-119.659419,2023-04-05,2023,4,gbif
4080632770,35.046886,-119.60512,2023-02-20,2023,2,gbif
4080628649,37.210335,-121.801352,2023-04-04,2023,4,gbif
4080622883,34.51918,-118.155114,2023-04-06,2023,4,gbif
4080621620,35.370742,-117.906764,2023-03-29,2023,3,gbif
4080615623,36.237792,-117.423072,2023-04-01,2023,4,gbif
