id,lat,lon,date,year,month,source,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
SD148405,32.7225,-117.1175,1999-12-17,1999,12,calflora,0,58.29999923706055,58.29999923706055,0.23999999463558197,7.800000190734863,20.260000228881836,102.24000549316406,23.18000030517578,25.010000228881836,4,0.36282846331596375,7.248250961303711
SD148403,32.73361,-117.13056,2000-03-17,2000,3,calflora,29.469999313354492,72.33000183105469,101.80000305175781,29.709999084472656,9.550000190734863,18.299999237060547,109.62000274658203,24.383333206176758,12.5,3,0.7478474974632263,5.197847366333008
2270251372,34.0918,-119.05226,2000-04-14,2000,4,gbif,NA,NA,141.1999969482422,74.91999816894531,10.510000228881836,21.1200008392334,206,25.746665954589844,24.43000030517578,2,0.9100000262260437,6.400000095367432
2575161232,33.85,-116.58,2001-03-10,2001,3,gbif,17.920000076293945,90.18000030517578,108.0999984741211,13.100000381469727,10.760000228881836,23.969999313354492,92.94000244140625,39.073333740234375,1.5,1,0.25,8.199999809265137
3406832280,34.220924,-118.906984,2001-04-20,2001,4,gbif,126.0999984741211,0,126.0999984741211,31.149999618530273,7.800000190734863,18.68000030517578,318.5,26.09666633605957,11.634533882141113,3,0.6831875443458557,6.899687767028809
3015531303,33.9508,-116.639,2001-04-29,2001,4,gbif,0,133.5,133.5,12.239999771118164,9.359999656677246,24.3700008392334,130.14999389648438,37.84333038330078,6.359377384185791,NA,0.5523737072944641,7.750795364379883
JEPS108704,34.011112,-116.51889,2001-06-06,2001,6,calflora,0,186.3000030517578,186.3000030517578,0,18.639999389648438,37.220001220703125,116.27000427246094,37.90999984741211,NA,NA,NA,NA
3053375702,35.3234182,-120.1336966,2002-01-15,2002,1,gbif,2.809999942779541,42.189998626708984,45,30.15999984741211,-0.6299999952316284,13.90999984741211,91.87999725341797,33.12333297729492,10.783604621887207,3,1.4729703664779663,6.859861373901367
4404981851,34.37583,-116.6603,2002-03-25,2002,3,gbif,0,108.5,108.5,0.47999998927116394,3.1500000953674316,19.579999923706055,10.220000267028809,37.4900016784668,3.4100000858306885,2,0.5099999904632568,8.069999694824219
3125188855,33.1,-116.45,2002-04-06,2002,4,gbif,0,137.10000610351563,137.10000610351563,7.110000133514404,7.199999809265137,25.459999084472656,25.530000686645508,36.813331604003906,NA,NA,NA,NA
2270193988,35.783611,-120.790556,2002-07-02,2002,7,gbif,0,201.39999389648438,201.39999389648438,0,11.289999961853027,35.630001068115234,51.25,34.619998931884766,3.504833936691284,2,0.3988508880138397,7.723196506500244
IRVC26210,34.41333,-118.67583,2003-06-19,2003,6,calflora,39.84000015258789,129.25999450683594,169.10000610351563,0.6499999761581421,12.859999656677246,25.780000686645508,249.22999572753906,31.666667938232422,18.593080520629883,3,0.36000001430511475,7.402459144592285
2421743298,33.145833,-117.310278,2004-05-07,2004,5,gbif,23.450000762939453,129.25,152.6999969482422,0,14.140000343322754,21.440000534057617,123.56999969482422,21.293333053588867,19.96856117248535,4,0.6637334227561951,6.96129035949707
3125056841,32.5423,-117.1032,2004-12-17,2004,12,gbif,11.380000114440918,42.81999969482422,54.20000076293945,65.81999969482422,8.670000076293945,18.989999771118164,339.5299987792969,22.163333892822266,NA,NA,NA,NA
po1634,34.160939,-119.047978,2004-12-13,2004,12,calflora,15.520000457763672,36.08000183105469,51.599998474121094,110.0999984741211,8.9399995803833,18.8700008392334,560.47003173828125,23.23666763305664,20.575733184814453,3,1.1891618967056274,7.752083778381348
2422404771,33.4575,-115.7275,2005-01-14,2005,1,gbif,9.390000343322754,50.40999984741211,59.79999923706055,35.38999938964844,7.46999979019165,19.100000381469727,137.27999877929688,39.12666702270508,1.5,1,0.42928043007850647,8.175179481506348
2421695737,34.733333,-115.668889,2005-03-27,2005,3,gbif,95.80000305175781,0,95.80000305175781,11.020000457763672,6.539999961853027,18.229999542236328,250.33999633789063,35.189998626708984,5.645778656005859,NA,0.6197312474250793,7.645617961883545
2270194619,35.002778,-119.5825,2005-04-30,2005,4,gbif,40.31999969482422,78.87999725341797,119.19999694824219,17.350000381469727,2.7300000190734863,19.030000686645508,298.3599853515625,32.369998931884766,10.972514152526855,NA,0.5784266591072083,8.043503761291504
SD212542,33.08972,-117.31139,2005-04-15,2005,4,calflora,38.189998626708984,91.30999755859375,129.5,17.75,10.34000015258789,18.260000228881836,396.8599853515625,20.8266658782959,3,2,0.3199999928474426,6.960000038146973
2626944457,38.5655,-121.71326,2005-05-22,2005,5,gbif,63.189998626708984,105.91000366210938,169.10000610351563,17.229999542236328,11.270000457763672,25.100000381469727,310.25,32.753334045410156,15.076287269592285,5,0.9223945140838623,7.823093414306641
3125186828,33.3761,-116.4424,2006-03-25,2006,3,gbif,8.180000305175781,90.91999816894531,99.0999984741211,38.18000030517578,5.400000095367432,17.639999389648438,2.4200000762939453,39.513336181640625,6.201888561248779,NA,0.6115269660949707,7.385746479034424
2421695652,36.098577,-118.946131,2006-04-20,2006,4,gbif,130.89999389648438,0,130.89999389648438,117.7300033569336,8.329999923706055,20.3799991607666,163.44000244140625,36.09000015258789,20.821561813354492,3,0.9591755270957947,7.163435935974121
3125184836,33.39583,-117.59194,2006-12-09,2006,12,gbif,5.039999961853027,52.560001373291016,57.599998474121094,25,6.900000095367432,20.860000610351563,69.54000091552734,25.476667404174805,9.655309677124023,4,0.3659723699092865,6.784608840942383
3125182820,33.09813,-117.31771,2007-02-23,2007,2,gbif,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0.3199999928474426,6.960000038146973
