x,y,month,year,aet,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph,tdiff,presence
-117.1175,32.7225,12,1999,0,20.260000228881836,102.24000549316406,23.18000030517578,25.010000228881836,4,0.36282846331596375,7.248250961303711,12.46,1
-117.13056,32.73361,3,2000,29.469999313354492,18.299999237060547,109.62000274658205,24.38333320617676,12.5,3,0.7478474974632263,5.197847366333008,8.75,1
-116.58,33.85,3,2001,17.920000076293945,23.969999313354492,92.94000244140624,39.073333740234375,1.5,1,0.25,8.199999809265137,13.21,1
-118.906984,34.220924,4,2001,126.0999984741211,18.68000030517578,318.5,26.09666633605957,11.634533882141112,3,0.6831875443458557,6.899687767028809,10.88,1
-120.1336966,35.3234182,1,2002,2.809999942779541,13.90999984741211,91.87999725341795,33.12333297729492,10.783604621887209,3,1.4729703664779663,6.859861373901367,14.54,1
-116.6603,34.37583,3,2002,0,19.579999923706055,10.220000267028809,37.4900016784668,3.4100000858306885,2,0.5099999904632568,8.069999694824219,16.43,1
-120.790556,35.783611,7,2002,0,35.630001068115234,51.25,34.619998931884766,3.504833936691284,2,0.3988508880138397,7.723196506500244,24.34,1
-118.67583,34.41333,6,2003,39.84000015258789,25.780000686645508,249.22999572753903,31.666667938232425,18.593080520629883,3,0.36000001430511475,7.402459144592285,12.92,1
-117.310278,33.145833,5,2004,23.450000762939453,21.440000534057617,123.56999969482422,21.293333053588867,19.96856117248535,4,0.6637334227561951,6.96129035949707,7.3,1
-119.047978,34.160939,12,2004,15.520000457763672,18.8700008392334,560.47003173828125,23.23666763305664,20.575733184814453,3,1.1891618967056274,7.752083778381348,9.93,1
-115.7275,33.4575,1,2005,9.390000343322754,19.100000381469727,137.27999877929688,39.12666702270508,1.5,1,0.42928043007850647,8.175179481506348,11.63,1
-117.31139,33.08972,4,2005,38.189998626708984,18.260000228881836,396.8599853515625,20.8266658782959,3,2,0.3199999928474426,6.960000038146973,7.92,1
-121.71326,38.5655,5,2005,63.189998626708984,25.100000381469727,310.25,32.753334045410156,15.076287269592283,5,0.9223945140838624,7.823093414306641,13.83,1
-118.946131,36.098577,4,2006,130.89999389648438,20.3799991607666,163.44000244140625,36.09000015258789,20.821561813354492,3,0.9591755270957948,7.163435935974121,12.05,1
-117.59194,33.39583,12,2006,5.039999961853027,20.860000610351563,69.54000091552734,25.476667404174805,9.655309677124023,4,0.3659723699092865,6.784608840942383,13.96,1
-118.78778,34.77701,4,2008,52.7599983215332,18.90999984741211,277.28997802734375,31.156667709350582,11.73342990875244,3,1.441380262374878,6.248481750488281,14.21,1
-120.81519,36.71015,1,2009,2.440000057220459,15.779999732971191,132.47000122070313,31.75666618347168,11.32663917541504,3,0.5334684252738953,7.793523788452148,13.01,1
-116.12915,33.83577,2,2009,5.429999828338623,18.059999465942383,76.11000061035156,37.01666641235352,4.059999942779541,2,0.119999997317791,8.25,12.82,1
-117.422,34.410831,4,2009,27.13999938964844,20.43000030517578,165.92999267578125,31.913333892822266,8.460000038146973,3,0.25,7.900000095367432,16.91,1
-115.40275,34.09202,12,2009,0.6000000238418579,15.279999732971191,109.34000396728516,38.75,5.866416931152344,1,0.3559841215610504,7.941970825195312,11.41,1
-120.799117,36.785433,1,2010,0,12.779999732971191,159.17999267578125,32.400001525878906,21.781896591186523,3,0.5882245898246765,8.067256927490234,8.02,1
-115.801917,33.668611,4,2010,0,25.079999923706055,148.9499969482422,37.5099983215332,2.0501134395599365,2,0.1325276345014572,8.09000015258789,16.47,1
