x,y,month,year,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
-117.26895115745204,34.94345538780935,10,1999,0,114.4000015258789,114.4000015258789,0,9.920000076293945,30.8700008392334,22.719999313354492,37.84000015258789,12.3100004196167,4,0.25,8.300000190734863
-120.84818546734188,37.46855006623651,10,1999,4.170000076293945,86.62999725341797,90.80000305175781,0.07000000029802322,10.979999542236328,27.780000686645508,210.89999389648438,32.516666412353516,3.626100778579712,2,0.23762036859989166,7.632006645202637
-117.43029906022694,34.76328356304404,10,1999,0,112.0999984741211,112.0999984741211,0,8.680000305175781,29.760000228881836,30.259998321533203,36.16666793823242,5.110000133514404,2,0.5400000214576721,8.039999961853027
-119.0034411122822,36.80433453314651,10,1999,4.760000228881836,90.63999938964844,95.4000015258789,3.390000104904175,8.920000076293945,21.239999771118164,641.8800048828125,24.47333335876465,8.8628997802734375,3,1.425788164138794,5.7334136962890625
-119.7214392796305,34.98110323179016,10,1999,0,107.0999984741211,107.0999984741211,0,8.609999656677246,28.34000015258789,89.54000091552734,32.8033332824707,NA,1,NA,NA
-117.98694932480034,34.94076625609643,10,1999,0,107.9000015258789,107.9000015258789,0,8.649999618530273,29.90999984741211,50.720001220703125,35.70000076293945,10.079999923706055,3,0.38999998569488525,7.849999904632568
-116.91129663963434,33.74410264384927,10,1999,1.4800000190734863,109.62000274658203,111.0999984741211,0,11.460000038146973,31.969999313354492,115.5,35.93333435058594,6.219439506530762,3,0.3945842981338501,7.7965874671936035
-118.70225836043572,34.886983621838134,10,1999,2.2200000286102295,110.68000030517578,112.9000015258789,0,11.239999771118164,25.3700008392334,162.91000366210938,30.003334045410156,11.026392936706543,3,1.0343592166900635,6.523392200469971
-118.91738889746892,34.21470069360939,10,1999,0,104.0999984741211,104.0999984741211,0,12.75,27.8700008392334,194.02999877929688,25.47333335876465,12.5,3,0.41999998688697815,6.4401116371154785
-117.5835795678631,35.4194317009953,10,1999,0,111.30000305175781,111.30000305175781,0,13.729999542236328,28.290000915527344,70.34000396728516,35.369998931884766,5.8993682861328125,3,0.3817828893661499,8.156332015991211
