id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
mu12962,33.6257,-117.8936,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2021-02-25,NA,Orange,"North Star Beach, Upper Newport Bay",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu1904,33.6629,-117.8548,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-04-21,NA,Orange,"Adj. UCI Freshwater Marsh, Irvine",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu1458,33.8796,-117.7394,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-04-11,NA,Orange,"Santa Ana River at Big Bend area, E of Yorba Linda",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg108547,37.57047,-121.944118,mgr,WGS84,20,1265,Amsinckia menziesii,Talila Golan,2020-04-04,NA,Alameda,#fire,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu995,33.8043,-117.7583,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-29,NA,Orange,"Santiago Creek Wash, between Irvine and Santiago Oaks Parks",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu982,33.8003,-117.7555,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-29,NA,Orange,"Santiago Creek Wash, between Irvine and Santiago Oaks Parks",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu486,33.5141,-117.5768,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-22,NA,Orange,"Rancho Miss. Viejo, S Hwy 74, .5 mi E Christianitos Rd.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu472,33.6655,-117.4337,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-22,Holy Fire,Orange,"@fire, Holy Fire, Main Divide Rd., +- 2.75 Rd. Mi. from Hwy 74, Santa Ana Mts.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu458,33.6607,-117.4309,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-22,Holy Fire,Orange,"@fire, Holy Fire, Main Divide Rd., +- 2.75 Rd. Mi. from Hwy 74, Santa Ana Mts.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu424,33.6651,-117.4228,mgr,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2020-03-22,Holy Fire,Orange,"@fire, Holy Fire, Main Divide Rd., 2.75 Rd. Mi. from Hwy 74, Santa Ana Mts.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
