ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
mg195795,36.067253,-120.114734,mgr,WGS84,6,112,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-16,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194678,36.071153,-120.135081,mgr,WGS84,4,47,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-09,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194677,36.071152,-120.135001,mgr,WGS84,4,45,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-09,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194349,36.072838,-120.131112,mgr,WGS84,4,50,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-08,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194148,36.024736,-120.317983,mgr,WGS84,6,116,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-08,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194147,36.027206,-120.317204,mgr,WGS84,4,54,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-03-08,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192206,36.019183,-120.118962,mgr,WGS84,4,47,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192191,36.030041,-120.120167,mgr,WGS84,9,234,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192115,36.039259,-120.143513,mgr,WGS84,4,53,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192112,36.040058,-120.142775,mgr,WGS84,6,116,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192111,36.040103,-120.142565,mgr,WGS84,4,47,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io82690,36.046004,-120.13968,mgr,WGS84,4,50,Phacelia ciliata var. ciliata,Jacob Smith,2023-02-23,NA,Fresno,"Common of vertic soils and slopes near the North Dome of Kettleman Hills, San Joaquin Desert, Fresno County, California.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191962,36.044471,-120.142656,mgr,WGS84,6,129,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191942,36.045116,-120.147823,mgr,WGS84,5,66,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191939,36.044619,-120.149254,mgr,WGS84,4,62,Phacelia ciliata var. ciliata,Ryan O'Dell,2023-02-23,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
