"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"mg192112","36.040058","-120.142775","mgr","WGS84","6","116","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Kings","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg192111","36.040103","-120.142565","mgr","WGS84","4","47","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Kings","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io82690","36.046004","-120.13968","mgr","WGS84","4","50","Phacelia ciliata var. ciliata","Jacob Smith","2023-02-23","","Fresno","Common of vertic soils and slopes near the North Dome of Kettleman Hills, San Joaquin Desert, Fresno County, California.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191962","36.044471","-120.142656","mgr","WGS84","6","129","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191942","36.045116","-120.147823","mgr","WGS84","5","66","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191941","36.044638","-120.148092","mgr","WGS84","25","1953","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191939","36.044619","-120.149254","mgr","WGS84","4","62","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191937","36.046324","-120.151793","mgr","WGS84","4","55","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191932","36.04749","-120.150208","mgr","WGS84","11","379","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191880","36.031277","-120.129646","mgr","WGS84","6","105","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-22","","Kings","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191877","36.032577","-120.13275","mgr","WGS84","9","281","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-22","","Kings","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191325","36.449706","-120.511223","mgr","WGS84","7","167","Phacelia ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191324","36.449628","-120.511596","mgr","WGS84","4","56","Phacelia ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191318","36.448291","-120.511641","mgr","WGS84","5","86","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191317","36.448187","-120.511801","mgr","WGS84","4","57","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191316","36.448179","-120.511838","mgr","WGS84","4","56","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191312","36.44791","-120.511633","mgr","WGS84","8","206","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io82455","33.690628","-117.644412","mgr","WGS84","4","50","Phacelia ciliata","Ron Vanderhoff","2023-02-19","","Orange","Dreaded Hill Trail, ca mid way from top and bottom, Whiting Ranch Park","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io82454","33.690755","-117.644263","mgr","WGS84","4","50","Phacelia ciliata","Ron Vanderhoff","2023-02-19","","Orange","Dreaded Hill Trail, ca mid way from top and bottom, Whiting Ranch Park","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191043","36.050763","-120.15408","mgr","WGS84","5","88","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-17","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191042","36.050956","-120.154109","mgr","WGS84","15","750","Phacelia ciliata","Ryan O'Dell","2023-02-17","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190552","36.068525","-120.15912","mgr","WGS84","25","1998","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190551","36.068331","-120.158956","mgr","WGS84","15","731","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190550","36.068337","-120.158825","mgr","WGS84","6","96","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190549","36.068201","-120.1588","mgr","WGS84","4","47","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190548","36.069367","-120.160054","mgr","WGS84","4","54","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190547","36.069288","-120.159975","mgr","WGS84","10","336","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190546","36.069188","-120.159912","mgr","WGS84","4","59","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190545","36.069181","-120.159861","mgr","WGS84","6","101","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190544","36.068988","-120.159584","mgr","WGS84","4","47","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190543","36.068934","-120.159518","mgr","WGS84","27","2270","Phacelia ciliata","Ryan O'Dell","2023-02-16","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190100","36.083108","-120.331543","mgr","WGS84","17","895","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190099","36.083098","-120.331383","mgr","WGS84","4","61","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190098","36.082445","-120.330284","mgr","WGS84","5","64","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190063","36.081377","-120.328344","mgr","WGS84","4","47","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190062","36.081492","-120.32854","mgr","WGS84","5","69","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190059","36.081784","-120.329062","mgr","WGS84","4","45","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190057","36.081543","-120.329132","mgr","WGS84","6","111","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190054","36.080667","-120.329203","mgr","WGS84","4","50","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190053","36.080666","-120.32922","mgr","WGS84","4","47","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190052","36.080677","-120.329275","mgr","WGS84","4","45","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190051","36.080789","-120.329537","mgr","WGS84","7","134","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190050","36.080873","-120.329579","mgr","WGS84","5","78","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190048","36.080579","-120.330941","mgr","WGS84","4","47","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg190045","36.080414","-120.331651","mgr","WGS84","7","143","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
