x,y,month,year,aet,cwd,pet,ppt,tmn,tmx,ppt_winter,tmx_summer
-121.14400410396432,37.9364574314853,10,1999,0,89.5,89.5,3.8299999237060547,9.8100004196167,27.3700008392334,99.89666748046875,31.983333587646484
-121.83780028280104,37.7186377009203,10,1999,9.5,81.4000015258789,90.9000015258789,6.300000190734863,11.5,26.770000457763672,109.06333923339844,28.229999542236328
-120.38297961322483,41.4081274581449,10,1999,2.6500000953674316,66.8499984741211,69.5,30.899999618530273,0.4300000071525574,20.510000228881836,50.9033317565918,27.336666107177734
-118.7157174780359,35.19892057080407,10,1999,0,91.69999694824219,91.69999694824219,0,11.579999923706055,27.239999771118164,42.836666107177734,32.253334045410156
-122.99681638000496,38.9179907852659,10,1999,0.44999998807907104,76.94999694824219,77.4000015258789,35.099998474121094,11.130000114440918,25.309999465942383,217.49667358398438,29.219999313354492
-116.40306354858023,35.57808824993575,10,1999,0,95.0999984741211,95.0999984741211,0,14.460000038146973,29.639999389648438,14.319999694824219,37.27666473388672
-119.95540754952316,39.310604126778145,10,1999,5.019999980926514,62.68000030517578,67.69999694824219,46.959999084472656,1.7799999713897705,14.550000190734863,250.29666137695313,19.459999084472656
-120.26196865179983,34.870846408718506,10,1999,12.380000114440918,81.91999816894531,94.30000305175781,0,8.609999656677246,26.170000076293945,86.763336181640625,24.6200008392334
-120.86971259140098,36.411719317530235,10,1999,0,101.80000305175781,101.80000305175781,0.25999999046325684,13.6899995803833,27.309999465942383,113.8933334350586,30.74333381652832
-121.184341091106,41.98898007298492,10,1999,0.7200000286102295,57.58000183105469,58.29999923706055,18.760000228881836,-1,20.649999618530273,41.04999923706055,27.56333351135254
-122.87311628610384,39.399345498489815,10,1999,1.1699999570846558,68.83000183105469,70,43.970001220703125,6.889999866485596,26.739999771118164,223.8433380126953,31.369998931884766
-120.74870162997598,37.82620299996474,10,1999,0.11999999731779099,90.87999725341797,91,2.2300000190734863,10.960000038146973,27.780000686645508,102.50666046142578,32.913333892822266
-119.36379840477868,35.212366233184625,10,1999,0,106.9000015258789,106.9000015258789,0,13.09000015258789,29.450000762939453,24.553333282470703,35.0099983215332
-117.48947306892916,35.46245555346297,10,1999,0,109.0999984741211,109.0999984741211,0,13.350000381469727,29.139999389648438,19.690000534057617,36.163333892822266
