x,y,month,year,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
-119.71068275277884,36.88769761624687,10,2000,0,96.80000305175781,96.80000305175781,64.7300033569336,10.600000381469727,24.6299991607666,143.25,35.99333190917969,9.79919147491455,3,0.2721364498138428,6.773272514343262
-120.54431358378248,36.624162708381206,10,2000,0,92.69999694824219,92.69999694824219,49.31999969482422,10.699999809265137,23.969999313354492,98.23999786376953,33.48666763305664,18.798683166503906,3,0.3865891098976135,7.916234493255615
-120.58733969118911,37.03828899217011,10,2000,3.640000104904175,86.76000213623047,90.4000015258789,73.529998779296875,9.130000114440918,23.979999542236328,126.7300033569336,33.38999938964844,22.656612396240234,6,0.8524481654167175,7.961838722229004
-120.401789602998,35.637251369741406,10,2000,0,94.5,94.5,42.040000915527344,5.829999923706055,24.530000686645508,231.60000610351563,33.82999801635742,16.829315185546875,3,0.5012950301170349,7.130425453186035
-120.3829656810076,36.07289070723363,10,2000,0,93.9000015258789,93.9000015258789,34.16999816894531,9.899999618530273,24.829999923706055,159.88999938964844,35.130001068115234,14.550000190734863,3,0.3499999940395355,7.360000133514404
-119.35571736667409,34.98379236350307,10,2000,0.7400000095367432,95.55999755859375,96.30000305175781,15.100000381469727,9.430000305175781,24.170000076293945,133.6199951171875,34.5,15.245635986328125,3,0.6546784043312073,7.4219069480896
-120.08985032429986,36.82046932342399,10,2000,1.2400000095367432,92.95999908447266,94.19999694824219,63.880001068115234,9.170000076293945,24.149999618530273,118.75999450683594,34.36333084106445,4.944667816162109,3,0.31313788890838623,6.715152263641357
-119.77791104560173,35.927677594736224,10,2000,0,97.5,97.5,25.739999771118164,10.550000190734863,25.3700008392334,95.470001220703125,35.65999984741211,13.210000038146973,4,0.5600000023841858,8.420000076293945
-120.64650058887324,37.89343287687707,10,2000,0,88.19999694824219,88.19999694824219,131.7100067138672,10.0600004196167,23.079999923706055,198.47000122070313,33.51333236694336,16.53118133544922,3,1.4097751379013062,6.087786674499512
-118.87436279006228,35.61304918432517,10,2000,0.28999999165534973,102.41000366210938,102.69999694824219,24.450000762939453,9.640000343322754,24.139999389648438,128.02000427246094,34.52333450317383,15.079915046691895,3,0.8525373935699463,6.84412145614624
-119.34764997153532,36.37945172250594,10,2000,0,97.9000015258789,97.9000015258789,45.720001220703125,10.229999542236328,24.280000686645508,134.3800048828125,34.42333221435547,10,5,0.5799999833106995,7.230000019073486
-120.22699604165852,35.80666666765505,10,2000,0,85.19999694824219,85.19999694824219,38.459999084472656,7.829999923706055,23.950000762939453,225.97000122070313,33.96666717529297,25.03719711303711,3,1.964228868484497,6.799520969390869
-119.35302823496116,35.73406011140634,10,2000,0,101.30000305175781,101.30000305175781,21.989999771118164,9.850000381469727,25.329999923706055,117.55000305175781,35.583335876464844,11.422554969787598,3,0.1459341198205948,7.460602760314941
-120.07102640230946,35.50817304752149,10,2000,0,96,96,42.709999084472656,9.100000381469727,23.149999618530273,184.0699920654297,33.62666702270508,13.283988952636719,3,1.4069093465805054,8.199999809265137
-118.9308345560335,35.52161870608606,10,2000,0,103.69999694824219,103.69999694824219,14.319999694824219,10.979999542236328,25.469999313354492,110.4000015258789,35.58333206176758,13.711471557617188,3,0.2453724592924118,7.753452301025391
-120.32649391503637,35.604981789186425,10,2000,0,95.69999694824219,95.69999694824219,40.04999923706055,6.070000171661377,24.43000030517578,215.3000030517578,34.186668395996094,9.05538272857666,3,0.28995534777641296,7.793152332305908
-119.27504341528662,35.15320766141671,10,2000,0,103.30000305175781,103.30000305175781,13.239999771118164,11.770000457763672,25.700000762939453,108.66000366210938,35.62333297729492,37.63772201538086,7,3.17883038520813,4.946381092071533
-119.44714784491318,35.634562238028494,10,2000,0,102,102,13.170000076293945,9.699999809265137,25.690000534057617,126.58000183105469,35.939998626708984,12.592544555664063,3,0.03484950214624405,8.890012741088867
-120.12211990485484,37.38787611484906,10,2000,0,91.5,91.5,70.94999694824219,9.34000015258789,23.670000076293945,174.9399871826172,34.17333221435547,10.118502616882324,3,0.8572913408279419,6.0786333084106445
-120.60616361317952,38.46352880001505,10,2000,35.09000015258789,49.11000061035156,84.19999694824219,128.85000610351563,9.109999656677246,22.31999969482422,320.6700134277344,32.71333312988281,12.900599479675293,3,1.3588204383850098,5.58000373840332
-119.99573071434784,37.39325437827489,10,2000,0,85.5999984741211,85.5999984741211,81.83000183105469,8.5,22.860000610351563,252.91000366210938,33.723331451416016,12.208832740783691,3,1.4378745555877686,6.474524974822998
-119.50899787431024,35.89002975075542,10,2000,0.11999999731779099,98.9800033569336,99.0999984741211,25.5,10.130000114440918,25.329999923706055,102.96000671386719,35.56333541870117,18.444494247436523,3,0.294637531042099,8.808302879333496
-120.39103307614631,36.31491256139598,10,2000,0,87.5,87.5,59.119998931884766,9.520000457763672,22.520000457763672,258.82000732421875,32.88666534423828,22.899999618530273,3,0.949999988079071,7.590000152587891
-120.50128747637584,37.00601941161513,10,2000,0,90.4000015258789,90.4000015258789,73.720001220703125,9.130000114440918,23.969999313354492,128.05999755859375,33.44333267211914,14.996588706970215,5,0.9533581733703613,7.868203639984131
-119.91505676296038,36.02448633640116,10,2000,0.1599999964237213,97.73999786376953,97.9000015258789,24.610000610351563,10.890000343322754,25.389999389648438,91.23999786376953,35.52333450317383,37.060001373291016,5,2.4800000190734863,8.130000114440918
-119.69185883078843,35.1155598174359,10,2000,0,98.4000015258789,98.4000015258789,16.059999465942383,9.25,23.579999923706055,149.99000549316406,33.90666580200195,13,3,0.15000000596046448,8.199999809265137
