id,lat,lon,date,year,month,source,aet,cwd,pet,ppt,tmn,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph
2270195424,35.933889,-119.9,2001-03-20,2001,3,gbif,0,99.5,99.5,32.08000183105469,8.729999542236328,21.1299991607666,92.55000305175781,35.65666580200195,13.588157653808594,4,0.5743463635444641,7.653979778289795
2422535898,35.32222,-119.36417,2004-03-14,2004,3,gbif,0,106.19999694824219,106.19999694824219,7.920000076293945,9.59000015258789,24.670000076293945,85.37999725341797,34.75,24.489999771118164,4,0.20999999344348907,8.199999809265137
2270197435,35.390333,-119.545667,2005-03-25,2005,3,gbif,0,99.9000015258789,99.9000015258789,25.149999618530273,8.430000305175781,20.579999923706055,123.97000122070313,35.15999984741211,12.605446815490723,3,0.20367957651615143,8.17622184753418
2430292565,34.94695,-119.40093,2009-03-30,2009,3,gbif,0,85.5,85.5,16.290000915527344,1.0099999904632568,15.65999984741211,149.55999755859375,31.790000915527344,19.030126571655273,3,0.878420889377594,7.602705478668213
2430557968,34.962111,-119.352889,2009-04-14,2009,4,gbif,0,128.1999969482422,128.1999969482422,3.619999885559082,5.21999979019165,21.540000915527344,108.94999694824219,32.71666717529297,22.973722457885742,3,0.8339617848396301,7.002751350402832
2430269578,34.945306,-119.388806,2009-04-17,2009,4,gbif,19.979999542236328,107.72000122070313,127.69999694824219,3.9100000858306885,2.890000104904175,20.030000686645508,158.3199920654297,31.56999969482422,21.4183349609375,3,0.9133564233779907,7.317498683929443
2430266373,34.95453,-119.35027,2009-04-14,2009,4,gbif,0,129.6999969482422,129.6999969482422,3.5899999141693115,5.550000190734863,21.770000457763672,101.77999877929688,32.893333435058594,17.24493408203125,3,0.49656155705451965,7.42154598236084
2430528030,34.95954,-119.3489,2010-04-27,2010,4,gbif,0,122.80000305175781,122.80000305175781,32.099998474121094,4.369999885559082,18.510000228881836,141.27999877929688,32.83000183105469,17.364728927612305,3,0.71707916259765625,7.632275581359863
2421771841,38.761944,-120.843333,2010-05-15,2010,5,gbif,145.3000030517578,0,145.3000030517578,73.3499984741211,6.630000114440918,20.299999237060547,421.72998046875,31.52666664123535,16.951946258544922,3,0.907582700252533,5.278752326965332
2430136418,34.9475,-119.4012,2011-04-24,2011,4,gbif,87.95999908447266,36.63999938964844,124.5999984741211,5.880000114440918,3.319999933242798,19.06999969482422,232.1300048828125,31.303333282470703,19.030126571655273,3,0.878420889377594,7.602705478668213
2270196130,35.453041,-120.341494,2012-03-03,2012,3,gbif,34.529998779296875,57.06999969482422,91.5999984741211,67.48999786376953,1.590000033378601,17.989999771118164,75.779998779296875,34.02000045776367,21.73748779296875,3,1.9254900217056274,6.56601619720459
2430551846,35.399983,-119.407383,2013-03-21,2013,3,gbif,0,101.80000305175781,101.80000305175781,19.09000015258789,7.340000152587891,22.75,37.7599983215332,35.310001373291016,12.457533836364746,3,0.03481425344944,8.87667465209961
2430212494,35.392156,-119.661419,2013-03-14,2013,3,gbif,0,101.19999694824219,101.19999694824219,18.43000030517578,7.559999942779541,22.260000228881836,33.68000030517578,34.996665954589844,17.806718826293945,3,0.3699454665184021,7.9433913230896
2430326333,35.003660000000004,-118.68117,2014-03-20,2014,3,gbif,35.279998779296875,60.720001220703125,96,80.08000183105469,3.9000000953674316,17.149999618530273,44.72999954223633,30.74333381652832,7.803247451782227,3,1.1230629682540894,7.018962383270264
3986020304,35.355135,-119.331806,2016-02-28,2016,2,gbif,0,62.70000076293945,62.70000076293945,30.889999389648438,5.269999980926514,19.950000762939453,83.36000061035156,36.29666519165039,11.795015335083008,3,0.07611852139234543,8.6749725341796875
3415367306,35.616254,-119.598291,2016-03-10,2016,3,gbif,0,101.5999984741211,101.5999984741211,14.930000305175781,7.78000020980835,22.1200008392334,95.18000030517578,36.81999969482422,19.160991668701172,3,0.09593342244625092,8.9071683883667
2563658718,35.603858,-119.575045,2016-03-10,2016,3,gbif,13.859999656677246,88.04000091552734,101.9000015258789,15.289999961853027,7.760000228881836,22.18000030517578,93.79000091552734,36.79999923706055,14.939001083374023,3,0.1944756656885147,8.399699211120605
2563449193,35.50025,-119.538515,2016-03-02,2016,3,gbif,0,102,102,16.549999237060547,7.849999904632568,22.31999969482422,90.11000061035156,36.62333297729492,12.32429027557373,3,0.03676234185695648,8.89513111114502
1805365668,35.833438,-119.815553,2016-03-07,2016,3,gbif,0,99.4000015258789,99.4000015258789,23.440000534057617,7.860000133514404,21.8799991607666,96.220001220703125,36.7400016784668,22.1200008392334,3,0.38999998569488525,7.5
3461012069,34.93007,-119.27067,2018-03-31,2018,3,gbif,26.469999313354492,54.93000030517578,81.4000015258789,85.19000244140625,2.700000047683716,12.989999771118164,44.709999084472656,31.6200008392334,16.411235809326172,3,0.9113869667053223,7.604100227355957
2563440558,35.376063,-119.645417,2019-03-26,2019,3,gbif,49,48.099998474121094,97.0999984741211,55.43000030517578,6.980000019073486,19,90.1300048828125,35.45333480834961,7.5,3,0.19847358763217926,8.014795303344727
2563440387,35.291225,-119.626862,2019-03-23,2019,3,gbif,55.4900016784668,42.11000061035156,97.5999984741211,57.810001373291016,6.539999961853027,17.459999084472656,114.66000366210938,34.68333435058594,5.993539333343506,3,0.39969712495803833,7.94972562789917
2563441860,35.34137,-119.35942,2019-04-15,2019,4,gbif,0,142.6999969482422,142.6999969482422,3.4100000858306885,11.25,26.25,96.31999969482422,35.49333190917969,23.83634376525879,4,0.4503774046897888,8.199999809265137
